Name,AnimalType,AgeuponOutcome,Breed,Color,neutered/spayed,adopted
1,1,1,1,Brown/White,1,0
1,0,1,1,Cream Tabby,1,0
1,1,2,1,Blue/White,1,1
0,0,0,1,Blue Cream,0,0
0,1,2,0,Tan,1,0
1,1,0,0,Black/Tan,0,0
1,0,0,1,Blue Tabby,0,0
0,0,0,1,Brown Tabby,0,0
1,1,1,1,Red/White,1,1
0,1,1,0,White,1,1
0,0,2,1,Black,0,0
0,1,2,1,Silver,1,1
1,1,2,1,Brown,1,1
1,1,2,1,Black/Red,1,0
1,1,1,1,White/Cream,1,0
1,0,1,1,Orange Tabby/White,1,1
0,0,0,1,Brown Tabby,0,0
0,1,0,1,Brown/White,0,0
1,0,2,1,White,0,0
1,1,1,1,Black,1,0
1,1,0,1,Black/White,0,0
1,0,1,1,White,1,0
1,1,2,0,Brown Brindle/White,1,1
1,1,1,1,Brown/White,1,1
1,1,0,1,Black/Brown,1,0
1,0,0,1,Orange Tabby,0,0
1,1,1,1,Chocolate/White,1,1
1,1,2,1,White/Tan,1,1
1,0,0,1,Cream Tabby/White,1,1
1,0,3,1,Blue,1,0
0,0,2,1,Calico,1,0
1,1,1,1,Black/White,0,0
0,0,0,1,Torbie,1,1
1,1,2,0,Brown/Black,1,0
1,1,2,1,Brown,1,0
0,1,2,1,Yellow,0,0
1,1,2,1,Brown/White,1,0
0,0,0,1,Blue/White,0,0
1,0,1,1,Black/White,1,0
0,0,0,1,Brown Tabby,0,0
1,0,3,1,Blue Tabby,1,1
0,0,0,1,Orange Tabby,0,0
1,0,0,1,Brown Tabby,0,0
0,0,2,1,Black/White,0,0
1,0,2,1,Black/White,1,1
1,1,3,0,Tricolor,1,0
1,0,3,1,White/Black,1,0
0,0,0,1,Black,0,0
1,1,1,1,Black/Brown,1,1
0,1,3,0,Chocolate/White,0,0
0,0,1,1,Tortie,0,0
1,0,1,1,Brown Tabby,1,1
0,0,0,1,Blue Tabby/White,0,0
1,1,2,1,Gray/White,1,1
1,0,0,1,Orange Tabby/White,1,1
0,0,0,1,Black,0,0
1,0,0,1,Calico,1,1
0,1,1,1,Tan,0,0
1,1,2,1,Tan/Black,1,0
1,1,2,0,Brown/White,1,1
1,0,1,1,Orange Tabby/White,0,0
1,1,3,1,Brown/Black,1,0
1,0,0,1,Black,0,0
1,1,2,1,Tan/White,1,1
0,0,0,1,Black,0,0
1,1,3,1,White,1,0
1,1,1,1,Black/White,1,0
1,1,0,0,Buff,0,0
0,0,0,1,Brown Tabby/White,0,0
1,1,1,1,Red,1,1
1,1,0,1,Brown,1,1
1,1,2,1,Brown Brindle/White,1,0
0,1,2,0,White,1,1
1,0,1,1,Black,0,0
1,1,2,1,Blue/Tan,1,0
1,1,2,0,Tan,1,0
1,0,1,0,Brown Tabby,1,1
0,0,1,1,Calico,0,0
1,1,0,0,Black,1,1
0,0,2,1,Black/White,1,0
1,1,1,0,White,1,1
0,0,0,1,Blue Tabby,0,0
1,0,0,1,Seal Point,0,0
0,0,2,1,Blue Tabby,0,0
1,1,3,1,Brown Brindle,1,0
0,1,1,0,Brown/White,1,1
1,0,0,1,Black,1,1
0,0,0,1,Black,0,0
0,1,1,1,Black/White,0,0
0,0,1,1,Calico,1,1
1,1,1,1,Brown Brindle/White,1,1
1,1,2,0,Black,1,1
1,1,3,0,White/Black,1,0
1,1,2,1,Black/Tan,1,0
1,0,1,1,Black,1,1
1,1,3,0,White/Brown,1,1
1,1,1,1,Black/White,1,0
0,0,0,1,Black/White,1,1
0,0,2,1,Black/White,0,0
0,1,2,1,Gray,1,1
1,1,2,1,Tan/White,1,1
1,1,2,1,Brown Brindle/White,1,0
0,0,0,1,Blue,0,0
0,0,0,1,Black,0,0
1,0,2,1,Torbie,1,0
1,1,2,1,Tan/White,1,0
1,0,0,1,Brown Tabby,1,1
1,1,2,1,Black/Tan,1,0
1,1,2,1,White,1,1
1,1,3,1,Black/Brown,1,0
1,1,2,1,Tricolor,1,0
1,1,1,0,Yellow Brindle/White,1,0
1,1,2,1,Fawn/White,1,1
0,0,0,1,Brown Tabby,0,0
1,1,1,1,White/Brown,0,0
0,0,3,1,Orange Tabby,0,0
1,1,1,1,Tan,1,1
1,1,1,1,Black/White,0,0
1,0,0,1,Calico,0,0
1,1,2,1,Brown,1,0
1,1,2,1,Black,1,0
1,1,3,0,Black,1,1
0,1,0,1,Black/White,1,1
0,0,3,1,Tortie,0,0
